cell_id,make,V_top,V_bottom,V_plateau,dV_total,n_points_ocv,gitt_n_pulses,mean_pulse_duration_s,dV_per_sqrt_t,GITT_tau_diff_s,GITT_tau_n,DCIR_R0_mOhm,DCIR_R0_n,HPPC_R0_mOhm,HPPC_R0_n,HPPC_R1_mOhm,HPPC_R1_n,capacity_Ah,capacity_chg_Ah,coulombic_efficiency_pct,duration_h,rpt_n_discharge_segments,self_disch_dV_per_day,self_disch_dsoc_per_day,self_disch_rest_duration_h,n_cycles,soh_first,soh_last,fade_pct,monotone_frac
0001,CALB,3.30781809,2.74560728,3.262837,0.5622108099999998,53372.0,65.0,360.0679999999993,-0.0009100030527923009,858.3065718759433,85.0,1.3957164843873209,1.0,1.3011969257985427,9.0,0.7831975173485478,8.0,52.48702934744608,52.624649715045,99.8960737560018,27.840186944444444,8.0,-0.0016781485495971319,0.0033562970991942638,169.3043197222222,402,0.7337777777777778,0.27625,45.75277777777777,0.7306733167082294
0001,EVE,3.3658716299999996,2.82768344,3.2679,0.5381881899999996,71294.0,,,,,,1.2186082088693573,1.0,0.7854350675528537,9.0,0.35782227868395605,7.0,103.80349391296343,103.80492448867552,99.99862186142022,34.156550833333334,7.0,,,,150,0.5463428497314453,0.573361873626709,-2.701902389526367,0.5973154362416108
0001,REPT,3.32524168,2.82017791,3.266403,0.50506377,145412.0,102.0,360.05200000002515,-0.0012400697183152722,828.9770681651147,215.0,1.0738934280908954,3.0,0.8990701645306038,18.0,0.22892709880180456,16.0,151.65301015902529,151.83359585980642,99.88106341040103,4450.761716388889,13.0,-0.004563172213806574,0.009126344427613148,172.2557861111111,213,1.0139,0.99562,1.8280000000000074,0.9764150943396226
0002,CALB,3.311071,2.75652808,3.264408,0.5545429200000003,58493.0,77.0,359.9519999999902,-0.0009281809867517811,868.7525437248211,107.0,1.2744174210847303,1.0,1.0937374647847227,9.0,0.5976716040098792,7.0,57.06807014004304,57.03542697231416,100.05723314343683,28.87287027777778,5.0,-0.003286745866067259,0.006573491732134518,169.30405305555556,402,0.6037916666666666,0.29554166666666665,30.824999999999996,0.5810473815461347
0002,EVE,3.3640538000000006,2.825792,3.265863,0.5382618000000008,71141.0,37.0,359.9969999999739,-0.0010822272340062764,813.9012903671362,74.0,1.6089127627067363,1.0,1.7171816163850462,9.0,0.34688558559599103,8.0,104.26993755892886,104.15812677425859,100.13275511949892,35.40426055555556,6.0,,,,150,0.9850095510482788,0.9871333241462708,-0.21237730979919434,0.9731543624161074
0002,REPT,3.3274753199999996,2.81888721,3.26376,0.5085881099999994,71728.0,0.0,,,762.1733594564731,14.0,1.480140613358254,1.0,1.2102009813645875,9.0,0.23769439159821792,8.0,148.81362908993526,148.36597077076485,104.35057255777798,153.61289944444442,9.0,-0.004834300228455421,0.009668600456910842,168.00767083333332,212,0.36012666666666665,0.95182,-59.16933333333334,0.7677725118483413
0003,CALB,3.31416411,2.75078294,3.2670614999999996,0.56338117,57908.0,73.0,360.01500000001397,-0.000816312271049407,877.5982230762366,107.0,1.2035957579535101,1.0,1.0458819209570747,9.0,0.5820669127845945,6.0,56.97664215425618,56.9350714540139,100.07301422336118,27.797113055555556,6.0,-0.003919805586923524,0.007839611173847048,169.3146525,402,0.6382638888888889,0.5911388888888889,4.712499999999997,0.71571072319202
0003,EVE,3.36602883,2.82964824,3.267805,0.5363805899999998,70840.0,,,,,,1.2096450853134217,1.0,0.7928801590354784,9.0,0.34268616544207536,7.0,104.37109644805537,104.17847323548271,100.18489732724076,35.35177,5.0,,,,150,0.7259238362312317,0.7081142663955688,1.7809569835662842,0.6241610738255033
0003,REPT,3.3269939600000002,2.82517416,3.2681025,0.5018198000000003,146135.0,103.0,360.0550000000512,-0.0012752681717687515,831.8317936632138,217.0,0.9817027255129456,3.0,0.7972116681409682,18.0,0.22871060104917496,15.0,152.51294376975605,152.54705237296196,100.00581325086847,4449.6874427777775,12.0,-0.0025224173961224208,0.0050448347922448416,172.25555666666668,205,1.0189599999999999,0.99844,2.051999999999987,0.9803921568627451
0004,CALB,3.3039878,2.71752336,3.254357,0.5864644399999999,47385.0,58.0,359.9290000000037,-0.0008116804516303666,880.987292068956,63.0,1.56059383873812,1.0,1.4843508282558022,9.0,0.8037110534296531,8.0,45.66006154495749,45.60864388176361,142.0443897086402,25.033679166666666,8.0,-0.0012303899899771518,0.0024607799799543036,169.31488472222222,402,0.5007916666666667,0.43027777777777776,7.051388888888899,0.6882793017456359
