make,cell,protocol_id,best_rmse_pp,n_cycles_fitted,de_wall_time_s,de_n_evaluations,de_success,k_SEI_value,k_SEI_top10_lo,k_SEI_top10_hi,k_SEI_well_identified,k_SEI_span_frac,V_SEI_value,V_SEI_top10_lo,V_SEI_top10_hi,V_SEI_well_identified,V_SEI_span_frac,D_SEI_solvent_value,D_SEI_solvent_top10_lo,D_SEI_solvent_top10_hi,D_SEI_solvent_well_identified,D_SEI_solvent_span_frac,k_plating_value,k_plating_top10_lo,k_plating_top10_hi,k_plating_well_identified,k_plating_span_frac,k_LAM_negative_value,k_LAM_negative_top10_lo,k_LAM_negative_top10_hi,k_LAM_negative_well_identified,k_LAM_negative_span_frac,well_identified_count
CALB,0003,CALB_0.5C_0.5D_15_100,0.8262511399473201,402,387.3758773803711,200,False,2.1169905064235324e-11,-10.733552203670017,-10.246327705896567,True,0.16240816592448346,0.00011173376694876834,0.00010700740740222299,0.00015576503912579013,False,0.40631359769639286,9.955699478515781e-21,-20.10427763867026,-19.903630475618243,True,0.05016179076300453,2.1756659808689533e-12,-11.662407778918833,-11.5660326921217,True,0.03212502893237771,3.0628434377244957e-10,-9.51387520230218,-7.552910781948843,False,0.6536548067844459,3
CALB,0008,CALB_0.25C_0.25D_15_100,1.5727366180626288,402,349.9661350250244,200,False,4.4556235286808173e-13,-12.351091511353996,-11.186400063134371,False,0.3882304827398748,0.00010712179672279202,0.00010712179672279202,0.00018375924705685013,False,0.6386454194504843,5.532704488764142e-20,-19.257062525579524,-19.064481143964812,True,0.048145345403677986,1.5017467090006618e-12,-11.824111543509748,-11.778766088932173,True,0.015115151525858295,2.6826068612083137e-08,-9.269566094785398,-7.571442968967329,False,0.5660410419393566,2
CALB,0009,CALB_0.25C_0.25D_15_100,0.4557958479970339,402,366.14484882354736,200,False,1.7465845824679754e-13,-12.757810377784917,-11.195589034967899,False,0.5207404476056728,0.00012026584591311348,0.00012026584591311348,0.00015871034373226612,False,0.3203708151596053,2.3859372566283037e-22,-21.946127383120356,-21.62234098122661,True,0.08094660047343627,5.050943407222166e-12,-11.323851590027719,-11.258372419103155,True,0.021826390308187744,3.638845754272187e-08,-9.393551802324188,-7.439036353176665,False,0.6515051497158412,2
CALB,0010,CALB_0.25C_0.25D_0_100,0.30845104844282584,401,353.94311141967773,200,False,4.875226815248997e-13,-12.312005174361424,-11.267458317947556,False,0.34818228547128943,0.00016425386819302192,0.0001417589103888214,0.00016425386819302192,True,0.18745798170167105,2.400650337638718e-22,-21.875403628826437,-21.61967109171002,True,0.06393313427910385,3.437283222741764e-12,-11.503289872115223,-11.463784681710246,True,0.01316839680165908,3.5680165041849115e-10,-9.447573145422636,-7.942725526463565,False,0.5016158729863571,3
CALB,0015,CALB_0.5C_0.5D_0_100,0.20711658259955612,402,408.6794373989105,200,False,2.015372595245549e-12,-11.695644651210117,-10.930380473929059,True,0.25508805909368587,0.00013114940724827712,0.00013114940724827712,0.00013258453205053407,True,0.011959373352141256,1.4786985160104064e-22,-21.905303808345504,-21.83012036297387,True,0.018795861342908893,2.24522902458494e-12,-11.685983107992282,-11.648739352192788,True,0.01241458526649808,7.849870829828915e-10,-9.180468016918526,-8.362841742110897,True,0.2725420916025432,5
EVE,0002,EVE_0.5C_0.5D_0_100,0.9847612677314201,150,164.78952169418335,200,False,2.0845837760118793e-13,-12.680980646602174,-10.99980541042723,False,0.560391745391648,0.00014941910098751962,8.636903732013715e-05,0.00015419222350339474,False,0.5651932181938132,1.1846854405558885e-22,-21.926396948865555,-21.826311261843422,True,0.025021421755533346,1.1777253861730755e-12,-11.94752904464883,-11.928955963515893,True,0.006191027044312254,1.0829733353885982e-09,-8.965382236298185,-7.86966983073488,False,0.3652374685211015,2
EVE,0004,EVE_0.5C_0.5D_2_100,0.6918387408096643,150,162.22178983688354,200,True,1.000448159442961e-11,-12.187796176515523,-10.562578536867486,False,0.5417392132160123,0.0001583208380633887,0.0001583208380633887,0.00018327205906369,True,0.20792684166917758,1.2899659362191576e-22,-21.889421757846005,-20.855218911283906,True,0.2585507116405248,4.250635778593157e-12,-11.947508976895094,-11.019176926989974,False,0.3094440166350398,1.0997957171574515e-08,-7.997151743577062,-7.736659624348958,True,0.086830706409368,3
EVE,0008,EVE_0.5C_0.5D_2_90,1.0655129364664395,150,117.04050660133362,200,False,3.064476606394092e-12,-12.09128527775439,-11.082991791411478,False,0.33609782878097033,0.00012636186918179787,0.00012233638335080842,0.00015257535911166297,True,0.2519914646737879,3.6374674928735015e-19,-19.40873021603789,-18.39570964005477,True,0.25325514399578,1.7205818315677975e-11,-10.76432466733064,-10.366669864727603,True,0.13255160086767917,8.91070042258418e-09,-8.867466966923674,-8.050088157050933,True,0.2724596032909137,4
REPT,0004,REPT_0.25C_0.25D_0_80,10.0,205,120.29636240005493,200,False,9.422171324959213e-12,-12.672498669155605,-10.002686778554834,False,0.8899372968669237,0.00015648026725638146,0.00010060463796160742,0.00019648999492048044,False,0.7990446413239418,4.3162976161529562e-19,-18.69272264118992,-18.033381784495123,True,0.16483521417369928,3.2152991250084237e-11,-11.929311953686165,-9.12833241134256,False,0.9336598474478682,2.814475261285245e-09,-9.943788366897628,-7.171515950562253,False,0.924090805445125,1
REPT,0007,REPT_0.25C_0.25D_0_100,0.055458617569866094,205,199.45599341392517,200,False,1.6691959344004205e-11,-11.977124285693325,-10.77749268175425,False,0.39987720131302495,0.0001430564368827072,0.0001430564368827072,0.00019487375115771418,False,0.4318109522917249,2.0553526482823942e-21,-20.778297599000368,-20.687113653075663,True,0.0227959864811762,1.148541342712009e-12,-11.9398533673923,-11.823203120143923,True,0.03888341574945938,1.388270416261342e-10,-9.857525930962225,-7.50589688133409,False,0.7838763498760452,2
