make,cell,n_cy,soh_first,soh_last,fade_pp,passes
CALB,0001,402,0.728,0.295,43.38,True
CALB,0002,402,0.599,0.291,30.89,False
CALB,0003,402,0.636,0.593,4.28,True
CALB,0004,402,0.497,0.429,6.79,False
CALB,0005,386,0.73,0.696,3.42,True
CALB,0006,374,0.744,0.615,12.86,True
CALB,0007,402,0.604,0.503,10.04,True
CALB,0008,402,0.6,0.539,6.11,True
CALB,0009,402,0.702,0.65,5.2,True
CALB,0010,401,0.766,0.722,4.42,True
CALB,0011,402,0.765,0.465,29.96,True
CALB,0012,402,0.536,0.343,19.3,False
CALB,0013,402,0.516,0.452,6.49,False
CALB,0014,402,0.534,0.464,7.08,False
CALB,0015,402,0.795,0.765,2.97,True
CALB,0016,402,0.779,0.438,34.14,True
CALB,0017,201,0.489,0.536,-4.76,False
CALB,0018,201,0.401,0.541,-14.08,False
CALB,0019,402,0.479,0.451,2.76,False
CALB,0020,402,0.642,0.419,22.29,True
CALB,0021,402,0.757,0.441,31.6,True
CALB,0022,402,0.583,0.395,18.81,False
CALB,0023,402,0.599,0.553,4.52,False
CALB,0024,402,0.505,0.425,7.97,False
CALB,0027,201,0.394,0.428,-3.43,False
CALB,0029,402,0.482,0.382,10.0,False
CALB,0030,402,0.66,0.509,15.1,True
REPT,0001,213,1.013,0.996,1.68,False
REPT,0002,212,0.607,0.955,-34.82,False
REPT,0003,205,1.018,0.999,1.95,False
REPT,0004,205,0.632,0.628,0.4,True
REPT,0007,205,0.99,0.965,2.56,True
REPT,0011,208,0.724,0.97,-24.57,False
REPT,0012,210,0.63,0.627,0.27,True
REPT,0025,210,0.628,0.623,0.49,True
REPT,0028,214,1.003,0.978,2.43,False
REPT,0031,212,0.564,0.545,1.96,False
REPT,0032,230,0.005,0.944,-93.91,False
REPT,0034,204,0.545,0.95,-40.43,False
REPT,0037,234,0.004,0.907,-90.28,False
REPT,0040,216,0.423,0.953,-52.95,False
REPT,0043,213,1.023,1.002,2.06,False
REPT,0046,213,0.62,0.612,0.76,True
REPT,0049,215,0.273,0.949,-67.59,False
REPT,0050,209,0.777,0.939,-16.15,False
REPT,0056,230,0.01,0.956,-94.59,False
REPT,0057,215,0.976,0.957,1.9,True
REPT,0065,230,0.136,0.945,-80.95,False
REPT,0074,208,1.016,0.998,1.76,False
REPT,0078,213,1.015,0.994,2.11,False
REPT,0080,211,0.592,0.585,0.74,False
REPT,0087,211,1.024,1.006,1.81,False
REPT,0090,236,0.003,0.922,-91.95,False
EVE,0001,150,0.546,0.568,-2.24,False
EVE,0002,150,0.989,0.987,0.19,True
EVE,0003,150,0.729,0.71,1.96,True
EVE,0004,150,0.961,0.959,0.13,True
EVE,0005,64,0.974,0.967,0.77,True
EVE,0006,47,0.997,0.993,0.43,True
EVE,0007,46,0.965,0.959,0.61,True
EVE,0008,150,0.955,0.94,1.51,True
