make,cell_id,K,n_total,n_test,rmse_pinn_pp,rmse_phys_pp
MFR_A,6,50,1105,944,3.7865910679101935,19.97150033712387
MFR_A,7,50,1194,1063,1.9341504201292992,37.50355541706085
MFR_A,10,50,1031,859,1.3857750222086906,4.694351181387901
MFR_A,14,50,1303,1129,1.0545611381530762,34.712570905685425
MFR_A,19,50,1217,1060,3.8658279925584793,33.2417756319046
MFR_A,20,50,1301,1091,2.112018503248692,5.157772824168205
MFR_A,25,50,1445,1237,1.043524593114853,1.376318372786045
MFR_C,1,50,213,144,0.4037376493215561,0.170015636831522
MFR_C,3,50,204,131,0.4392376635223627,0.5085146985948086
MFR_C,7,50,205,126,0.2824338153004646,0.4213789477944374
MFR_C,28,50,213,132,0.1011073472909629,0.4256622865796089
MFR_C,43,50,213,136,0.2244370756670832,0.1885885722003877
MFR_C,57,50,215,150,0.0774743093643337,0.0334504642523825
MFR_C,74,50,208,138,0.0460131530417129,0.1569301588460803
MFR_C,78,50,213,133,0.3123317612335086,0.3147884970530867
MFR_C,87,50,211,144,0.0749765080399811,0.4814954474568367
MFR_B,2,50,150,84,0.25983068626374,0.2495571970939636
MFR_B,3,50,150,88,1.211406011134386,1.3035258278250694
MFR_B,4,50,150,91,0.4237527959048748,0.4096872173249721
MFR_B,8,50,149,79,1.2668868526816368,0.3290195949375629
